Names
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Procut Horizon Pollenless",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
{plant_name},24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Procut Peach",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Procut Red Lemon BiColor Pollenless",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Autumn Beauty (90 days)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Black Oil Hybrid (Perodovik Sunflower)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Lemon Queen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Russian Mammoth (105 days)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Sungold Dwarf",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
