Name,Seed Name,Temperature (2 m),Precipitation,Soil Temperature (0 to 6 cm),Soil Moisture (0-3 cm),Sunshine Duration,Humidity,Soil Type,Watering
"Grass Mix,  Elite","Grass Mix, Elite",22-25,600-800 mm,18-20,60-70%,6-8 hours,50-60%,"['Loamy Sand', 'Sandy Loam', 'Clay Loam']",Moderate
"Grass Mix,  Kentucky Bluegrass Blend",Kentucky Bluegrass Blend,15-25,650-850 mm,10-20,40-60%,4-8 hours,50-70%,"['Clay Loam', 'Sandy Loam', 'Silty Loam']",Moderate to High
"Grass Mix,  Shady",Grass Mix,,600-800 mm,,,4-6 hours,60-80%,"['Clay Loam', 'Sandy Loam', 'Peat']",As needed
"Grass Mix,  Tuff Turf 21",Tuff Turf 21,18-24,7-10 mm/week,15-20,50-60%,4-6 hours/day,60-70%,"['Sandy Loam', 'Clayey Soil', 'Calcareous Soil']",1-2 times a week
"Grass Mix, American Premier",American Premier,22-25,600-800 mm,20-22,50-60%,5-7 hours,50-70%,"['Clay Loam', 'Silty Clay Loam', 'Sand Loamy']",Moderate
Low-Growing Mixture,Low-Growing Mixture,15-20,600-800 mm,12-18,40-60%,4-6 hours,50-70%,"['Clay Loam', 'Silt Loam', 'Sand Loam']",Weekly
"Marigold, French Petite","Marigold, French Petite",20-25,10-15,18-22,5-8,6-8 hours,50-70%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']",Average
"Marigold, Sparky Mix","Marigold, Sparky Mix",,700-800 mm,,,6-8 hours,40-50%,"['Sandy Loam', 'Loamy Sand', 'Well Draining']","As needed, but avoid overwatering"
Monarch Butterfly Garden Mixture,Monarch Butterfly Garden Mixture,22-25,600-800 mm,20-24,50-60%,4-6 hours,40-50%,"['Well-draining', 'Slightly acidic', 'Loamy']",As needed
"Phlox,  Mixed Colors (Annual)",Phlox,20-25,1-5 mm/day,15-20,40-60%,4-8 hours,50-70%,"['Loamy Sand', 'Silty Loam', 'Clay Loam']","As needed, avoiding overwatering"
"Sweet Pea, Knee High","Sweet Pea, Knee High",18-22,600-800 mm,15-20,40-60,4-6 hours,50-70,"['Sandy Loam', 'Loamy Sand', 'Sand']",Moderate
"Zinnia, American Mixture","Zinnia, American Mixture",22-25,700-1000 mm,20-24,40-60%,6-8 hours,50-70%,"['Loamy sand', 'Sandy loam', 'Clay loam']",Moderate
"Zinnia, California Giant","Zinnia, California Giant",22-28,600-800 mm,15-20,50-70%,5-7 hours,40-60%,"['Loamy Sand', 'Sand-Loam', 'Sandy Loam']",Moderate
"Zinnia, State Fair Mixture","Zinnia, State Fair Mixture",23-27,5-7 days/week,20-24,loose to moist,6 hours/day,50-60%,"['Loamy', 'Sandy Loam', 'Calarosa']",regularly
"Vetch,  Hairy",Vetch,15-20,600-800 mm,10-15,40-50%,5-7 hours,60-70%,"['Sandy Loam', 'Clay Loam', 'Loamy Sand']",As needed
"Winter Peas, Austrian",Austrian Winter Peas,10-12,600-800 mm,7-9,60-70,5-8 hours,50-60,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']",Light
"Potatoes, Elba (Late), Certified",Elba Late,15-20,600-800 mm,10-14,40-50%,1500-1800 hours,60-70%,"['Loamy Sand', 'Sandy Loam', 'Clay Loam']",Regular
"Potatoes, Purple Viking (Early Season), Certified",Purple Viking,12-15,600-800 mm,8-10,60-70,15-18 hours,60-80%,"['Sandy Loam', 'Clay Loam', 'Loamy Sand']",Moderate
"Potatoes, Reba (Late Season), Certified",Reba,18-22,700-1000 mm,12-15,50-70%,200-250 days,60-80%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']",Moderate
"Potatoes, Adirondack Red ( Mid Season), Certified",Adirondack Red,18-22,750-1000 mm,12-15,60-70%,10-12 hours,70-80%,"['Clay-loam', 'Silty-loam', 'Sand-loam']",As needed
"Potatoes, Austrian Crescent (Long Season)",Austrian Crescent (Long Season),15-20,800-1000 mm,10-12,60-70,1800-2000 hours,50-60,"['Clay Loam', 'Sandy Loam', 'Loamy Sand']",Moderate
"Potatoes, Caribou Russet (Mid Season), Certified",Caribou Russet,15-20,600-800 mm,10-15,50-60%,12-16 hours,70-80%,"['Loamy Sand', 'Sandy Loam', 'Clay Loam']",1 inch per week
"Potatoes, Chiefton (Mid Season), Certified",Chiefton,,"['800-1000 mm', '600-700 mm']",,,"['12-14 hours', '10-12 hours']","['80-90%', '70-80%']","['Sand', 'Silt', 'Clay']",As needed
"Potatoes, Eva (Mid Season), Certified",Eva,15-18,650-750 mm,10-12,60-70%,14-16 hours,70-80%,"['Loamy Sand', 'Sandy Loam', 'Clay Loam']","As needed, but avoid overhead irrigation"
"Potatoes, French Fingerling (Mid Long Season), Certified",French Fingerling,,600-800 mm,,,6-8 hours,80-90%,"['Clay Loam', 'Silty Clay Loam', 'Sand Loam']",Regular to Moderate
