Names,Description,Image_URL
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)","
				
	Description

Mexican Sunflower produces stunning, deep orange flowers that set it apart from other sunflowers. Flowers are up to four inches wide and attract bees and butterflies. This species is native to Mexico and is heat and drought tolerant. Recommended for the back of the border, cutting garden and pollinator garden.
			",https://americanseedco.com/wp-content/uploads/2023/05/Mexican-Sunflower-200x230.jpg
"Sunflower, Procut Horizon Pollenless","
				
	Description

A brand new ProCut variety, with rich overlapping orange petals surrounding a traditional dark disc, with perfect upward facing blooms. Pollenless means no mess on your table from your arrangement. A must for the home florist!
ProCut Series Sunflowers are early maturing, pollenless hybrids. Plants are strong single stems that are 60 – 72” high with 4 – 6” blooms.
			",https://americanseedco.com/wp-content/uploads/2023/02/horizon-200x200.jpg
"Sunflower, Procut Peach","
				
	Description

Stunning, Peach-colored blooms combine well with soft or vivid colors and are every bit as early and reliable as the other well-known ProCut colors. Single-stem plants have tall, strong stems and 4–6″, pollenless blooms. Another exciting introduction from US plant breeder Dr. Tom Heaton and company. Pollenless. Single stem.
			",https://americanseedco.com/wp-content/uploads/2024/06/peach-procut-200x200.jpg
"Sunflower, Procut Red Lemon BiColor Pollenless","
				
	Description

Bicolor flowers open lemon yellow with deep velvety red surrounding the almost black central disc. The red color diffuses to a muted brick red as the flower matures. ProCut Red Lemon Bicolor makes an excellent cut flower, with strong, 4-6 ft. tall stems. Flowers are pollen-free.
			",https://americanseedco.com/wp-content/uploads/2023/02/red-lemon.jpg
"Sunflower, Autumn Beauty (90 days)","
				
	Description

A mixture of yellow, bronze and purple 6 inch flowers on 5 to 6 foot stalks.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/autumn-200x170.jpg
"Sunflower, Black Oil Hybrid (Perodovik Sunflower)","
				
	Description

Plant heights of 5 feet with sunflower heads that produce an abundant supply of tasty snacks or bird food.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/Black-Oil-Sunflower.webp
"Sunflower, Lemon Queen","
				
	Description


Beautiful, lemon-yellow blooms with chocolate centers. This one is very unique; tall plants produce many brilliant blooms that are a favorite of many bees.

 
 
			",https://americanseedco.com/wp-content/uploads/2018/11/lemon-queen-sunflower-200x200.jpg
"Sunflower, Russian Mammoth (105 days)","
				
	Description

Immense single yellow flowers on heavy, tall stalks.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/mammoth-200x200.jpg
"Sunflower, Sungold Dwarf","
				
	Description

Brilliant double, golden yellow flowers on 2 to 3 foot stems distinguish this unique variety.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/sungold-200x267.jpg
"Sunflower, Velvet Queen","
				
	Description


Dark, velvety crimson blooms are accented with traces of yellow around a black center. 5-6″ blooms occur May through November. Plants average 5-6′ in height.

 
			",https://americanseedco.com/wp-content/uploads/2018/11/velvet-queen-sunflower-200x200.jpg
Butterfly Milkweed (Asclepias Tuberosa),"
				
	Description

Monarch larvae feed exclusively on Milkweed plants. including Butterfly Milkweed (Asclepias Tuberosa) that has been recommended by the North American Butterfly Association. Monarchs are probably the most well known butterflies in North America. Sadly, the number of Monarchs seen in our gardens has been decreasing over the last decade. One of the factors that is causing this decrease is the loss of the Monarch caterpillars’ food plant, namely, milkweeds. This species of milkweed does not spread by runners like common milkweed therefore it is not invasive. Native to North America. Fun for kids and adults alike!
			",https://americanseedco.com/wp-content/uploads/2022/12/Butterfly-Milkweed__40762-200x200.jpg
Moonflower,"
				
	Description

The first time you watch a Moonflower swirl open, you simply won’t believe your eyes. The whole process takes less than a minute–from tightly-furled, long greenish-white bud to glowing, wide-open 6-inch bloom–and it occurs at twilight, when the rest of the garden is closing up for the night! A favorite of the humminbird moth and sphinx moths.

Indescribably fragrant, Moonflower is one of the joys of the night garden, and this 6-foot vine is particularly effective on the patio, twining up the porch railings, or set under windows, where the fragrance can be appreciated indoors and out.
An easy, carefree vine, Moonflower can be started ahead indoors or direct-sown when the soil is warm in any sunny garden spot. The blooms arise all summer and into fall. Magnificent!
Soak these seed in warm water for 24 hours before planting.

			",https://americanseedco.com/wp-content/uploads/2022/12/s-l500-200x200.jpg
Native Perennial Seed Mix,"
				
	Description

The Native Perennial Seed Mixture provides a long-lasting, perennial planting filled with a colorful assortment of adaptable, American native species.
 



MIX COMPONENTS
Bergamot (Monarda fistulosa), Black-Eyed Susan (Rudbeckia hirta), Blanketflower (Gaillardia aristata), Dwarf Evening Primrose (Oenothera macrocarpa), Eastern Columbine (Aquilegia canadensis), Gayfeather (Liatris spicata), Hoary Vervain (Verbena stricta), Lance-Leaved Coreopsis (Coreopsis lanceolata), Lewis Flax (Linum lewisii), Mexican Hat (Ratibida columnifera), New England Aster (Symphyotrichum novae-angliae), Ohio Spiderwort (Tradescantia ohiensis), Ox-Eye Sunflower (Heliopsis helianthoides), Prairie Coneflower (Ratibida columnifera), Purple Coneflower (Echinacea purpurea), Rocky Mountain Penstemon (Penstemon strictus), Scarlet Cinquefoil (Potentilla thurberi), Smooth Penstemon (Penstemon digitalis), White Upland Aster (Solidago ptarmicoides)


OZ./1000 SQ. FT.
6


LBS./ACRE
8-16



			",https://americanseedco.com/wp-content/uploads/2024/01/native-1-200x200.jpg
Bumblebee Buffet,"
				
	Description

Flowers that are attractive to many species of bumble bees. The assortment of flowers in the mix is based upon research done in our trial gardens over the last decade. It consists of adaptable, native species such as Purple Coneflower, Bergamot, and Blue Sage as well as an attractive assortment of garden flowers such as Rocket Larkspur, Balsam and Dwarf Cosmos.  A Great Way to invite these pollinators into your garden.
 
Mix components: White Prairie Clover (Dalea candida), Arroyo Lupine (Lupinus succulentus), Balsam ‘Camellia Flowered Mix’ (Impatiens balsamina), Bergamot (Monarda fistulosa), Blue Sage (Salvia farinacea), Dwarf Sulphur Cosmos (Cosmos sulphureus), Gayfeather (Liatris spicata), Lacy Phacelia (Phacelia tanacetifolia), Purple Coneflower (Echinacea purpurea), Purple Prairie Clover (Dalea purpurea), Rocket Larkspur (Delphinium consolida), Rocky Mountain Penstemon (Penstemon strictus), Siberian Wallflower (Cheiranthus allionii), Spurred Snapdragon (Linaria maroccana), Yellow Lupine (Lupinus densiflorus aureus), Zinnia ‘Dahlia Flowered Mix’ (Zinnia elegans)
			",https://americanseedco.com/wp-content/uploads/2019/04/56739272_2094465770670236_1068734630867238912_o-200x200.jpg
Hummingbird & Butterfly Mixture,"
				
	Description

Plant Hummingbird and Butterfly flower mixture attract beautiful pollinators.  This mixture contains 16 annual and perennial wildflowers.  Because of the varieties and colors this mixture will lure beautiful Hummingbirds and Butterflies into your garden.
 
			",https://americanseedco.com/wp-content/uploads/2018/11/bird-and-butterfly-flower-mix-200x199.jpg
"Phlox,  Mixed Colors (Annual)","
				
	Description

A classic garden annual, and a fast-growing accent flower for bouquets and borders. Annual phlox produces charming, abundant blooms on branched stems.  Height is 15-20″.  Seed Matures in 50 to 60 days.
			",https://americanseedco.com/wp-content/uploads/2020/01/Phlox-200x199.jpg
"Poppy, CA Formula","
				
	Description

Colors include yellow, orange, red, purple, and white. California Poppies are easy to grow and perform best when sown directly in the garden or project site.
 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/poppy-200x203.jpg
"Poppy, Orange","
				
	Description

Commonly known as CA orange Poppy, these simple flowers are native to western North America and bring endless enjoyment. Sow in the spring for blooms all summer long. Sow in the fall and yours will be the first to bloom in spring. Will self sow. An outstanding border plant. Height: 8-12 inches.
			",https://americanseedco.com/wp-content/uploads/2018/11/ca-orange-poppy-200x203.jpg
