Name,Image_URL,Image_URL_2,Description
White Cape Leadwort,,,Plumbago auriculata 'alba' : White Cape LeadwortFamily: PlumbaginaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -8°C (les tiges gèlent à -5°C)Colour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Calabash tree,,,Crescentia cujete : Calabash treeFamily : BignoniaceaeOrigin : MexicoHeight in its natural environment : 12 mHardiness : 2°CColour of the flower : Yellow/GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
African Iris plant,,,Dietes bicolor : African Iris plantFamily:IridaceaeOrigin : South AfricaHeight in its natural environment : 1 mHardiness : -7°CColour of the flower :pure white to creamDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
White desert rose,,,White adenium obesum : White desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : white (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Yellow passion fruit,,,"Passiflora edulis f. flavicarpa : Yellow passion fruitFamily : PassifloraceaeOrigin: Paraguay, BrasilHeight in its natural environment : 10 mhardiness : 0°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower"
Globe amaranth,,,"Gomphrena globosa : Globe amaranthFamily: AmarantaceaeOrigin : South AmericaHeight in its natural environment : 0,60 mHardiness : -7°CColour of the flower : PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Cape Leadwort,,,Plumbago auriculata : Dentelaire du CapFamille : PlumbaginacéesOrigine : Afrique du sudHauteur dans son milieu naturel : 6 mRusticité : -8°C (les tiges gèlent à -5°C)Couleur de la floraison : bleue Difficulty level : Beginner  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance rapide
Tiare flower tree,,,Gardenia taitensis : Tiare flower treeFamily : RubiaceaeOrigin : PolynesiaHeight in its natural environment : 3 mHardiness : 6°CFlower colour : whiteDifficulty level : Expert  : Height : about 10 to 20 cm (depending of the season)  Slow grower
Roselle,,,"Hibiscus sabdariffa : RoselleFamily : MalvaceaeOrigin : GuineaHeight in its natural environment : 1,80 mHardiness : 2°CFlower colour : pink and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Pomegranate tree,,,Punica granatum : Pomegranate treeFamily : LythraceaeOrigin : Western AsiaHeight in its natural environment : 5 mHardiness : -15°CFlower colour : bright red  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Chinaberry tree,,,Melia azedarach : Chinaberry treeFamily : MeliaceaeOrigin : IndiaHeight in its natural environment : 13 mHardiness : -7°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
