Title,Description,URL
Allium 'Drumstick',"A fantastic and fun naturalizing heirloom, with dense, oblong composite flowers that mature from green to magenta. 1"" to 1 1/2"" wide atop strong stems. Beautiful en masse. Grows 24"" high. Alliums are deer, rabbit and rodent resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Allium--Drumstick--vendor-unknown-1630680253.jpg?v=1630680254
Allium 'Summer Drummer',"Get ready for the grand finale! Just as other alliums are fading, ‘Summer Drummer’, the tallest and latest-flowering of all alliums, bursts into bloom with white and lavender puffballs reaching up to 6’ tall. Great for tall, sunny borders where you can watch pollinators forage at eye-level. The seed heads remain attractive as they dry, adding a sculptural element to the garden.
Blooms in late July/August. Naturalizes, and is deer and rodent resistant.",https://hudsonvalleyseed.com/cdn/shop/products/AlliumSummerDrummer1_1.jpg?v=1657145443
Allium Aflatunense 'Purple Sensation',"A superb globe variety. Consistent 4"" to 5"" wide globes, with violet florets that brighten as they expand, yielding to lime-green fruits. Beloved by pollinators of all kinds. Grows 24"" to 30"" high. Alliums are deer, rabbit and rodent resistant.
",https://hudsonvalleyseed.com/cdn/shop/products/Allium-aflatunense--Purple-Sensation--vendor-unknown-1630680227.jpg?v=1630680229
Allium Atropurpureum,"Gorgeous heirloom from around 1800, this allium is loved by bees, butterflies, and other pollinators. Dense, 2""-wide umbels are full of deep purple florets that yield to contrasting deep green fruits. Stunning interplanted with Allium nigrum. Grows up to 34"". Alliums are deer, rabbit and rodent resistant.
",https://hudsonvalleyseed.com/cdn/shop/products/Allium-atropurpureum-vendor-unknown-1630682309.jpg?v=1661351977
Allium Azureum,"This unusual 1830s heirloom has beautiful, cornflower-blue, 1-2"" wide orbs of star-like florets. Also known as ""The Blue of the Heavens"". Great when planted in clusters. Grows to 24"" high. Alliums are deer, rabbit, and rodent resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Allium-azureum-vendor-unknown-1630681460.jpg?v=1630681461
Allium Carolinianum 'Rosy Beauty',"
",https://hudsonvalleyseed.com/cdn/shop/products/Allium-carolinianum--Rosy-Beauty--vendor-unknown-1630683011.jpg?v=1630683013
Allium Stipitatum 'White Giant',"Native to the Himalayas, Rosy Beauty bursts with 2-inch pink-lavender blooms atop 16-inch high stems. The spiky florets produce prominent anthers giving these rounded umbels a soft, fuzzy edge like adorable pompoms (and a bit like big scabiosa blooms!).",https://hudsonvalleyseed.com/cdn/shop/products/Allium-stipitatum--White-Giant--vendor-unknown-1630682981.jpg?v=1630682983
Camassia Leichtlinii Alba,"Alliums are beloved by pollinators and resistant to deer, rabbit, and rodent damage.",https://hudsonvalleyseed.com/cdn/shop/files/CamassiaLeichtliniiAlba-visi23909_1.jpg?v=1686081908
Camassia Quamash (Wild Hyacinth),"Snowballs in summer! Reaching 4' tall, White Giant flowerheads span 8"" in diameter and seem to softly float in the air. Look more closely and find delicate star-like florets with finely textured petals and bright green ovaries.",https://hudsonvalleyseed.com/cdn/shop/files/camassia_quamash_4.jpg?v=1682454367
Chionodoxa Forbesii,"Plant in full sun. Alliums are beloved by pollinators and resistant to deer, rabbit, and rodent damage.",https://hudsonvalleyseed.com/cdn/shop/products/Chionodoxa-forbesii-vendor-unknown-1630683138.jpg?v=1630683139
