Name,Description,Image URL
Volcano,"Growers and home gardeners alike will love this new hybrid nantes carrot for its resistance to breaking and tolerance of very late harvests. The roots are smooth and bright orange, growing to 18-22cm (7-9"") in length. Read More",//www.westcoastseeds.com/cdn/shop/products/CR313-Volcano-Carrot-Seeds-140322437_515x640_crop_center.jpg?v=1610585812
Maxibel Filet Organic,"Maxibel is unsurpassed in flavour and great for fresh market gardeners. Straight, dark-green filet bean pods are stringless and about 18cm (7"") long on sturdy bush plants. Read More",//www.westcoastseeds.com/cdn/shop/products/BN135-1_515x640_crop_center.jpg?v=1610655526
Amsterdam Cutting Leaf Celery,"This cutting leaf celery is like the European cousin to our Summer Kintsai Celery. Both are grown for their leaves, not the crunchy stalks. Amsterdam Cutting Leaf Celery is a Dutch heirloom that is used traditionally to flavour soups and stews. Read More",//www.westcoastseeds.com/cdn/shop/products/CL450-Amsterdam-Cutting-Leaf-Celery-IMG_0084_515x640_crop_center.jpg?v=1566423580
Tirreno Organic,"Grow this wonderful Tuscan cantaloupe in a poly-tunnel or under a cloche and be rewarded by 1.7kg (60 oz), heavily netted, sweetly fleshed fruits. The extra heat provided by a cloche will make the plants far more productive, but they will produce in a regular raised garden bed as well. Read More",//www.westcoastseeds.com/cdn/shop/products/ML866-1_515x640_crop_center.jpg?v=1610654620
Cinnamon Basil,Unique cinnamon taste and aroma makes this variety wonderful for tea/vinegars or even for use ornamentally in edible or scented decorative arrangements. Read More,//www.westcoastseeds.com/cdn/shop/products/HR1013_CinnamonBasil_515x640_crop_center.jpg?v=1655162913
Candytuft,"Umbels of fragrant flowers unfold from a central point in pink to off-white on annual plants that grow 20-30cm (10-12"") tall with a spreading habit. Iberis prefers well drained soil in full sun, and has a remarkable characteristic of blooming just weeks after sowing. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2042-1_515x640_crop_center.jpg?v=1610649274
Hot Pink Berri Basket,"Fabulous, large, hot-pink flowers are followed by large, deep red, full flavoured fruits on this compact, bushy, ever-bearing variety. Hot Pink... Read More",//www.westcoastseeds.com/cdn/shop/files/FR910StrawberryBerriBasketHotPink__11STR-5518_515x640_crop_center.jpg?v=1685031151
Ruby Streaks Organic,"Ruby Streaks Organic mustard seeds CERTIFIED ORGANIC! This mizuna-like mustard has a nice mild flavour. Attractive, deeply cut oak leaf, frilled leaves with purple and green variegation. Read More",//www.westcoastseeds.com/cdn/shop/products/MU530-1-Ruby-Streaks-Organic-Mizuna_515x640_crop_center.jpg?v=1610656612
Chinese Houses,"Pagoda shaped inflorescences of purple and white flowers top compact, easy-going, charming plants. Chinese Houses Collinsia are also (quite sweetly) known as Blue-Eyed Marys. They are native to western North America, and thrive in cool weather, flowering in late spring to early summer. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2416_Chinese-Houses-Collinsia_IMG_6080_515x640_crop_center.jpg?v=1586482962
Black Falcon,"Stunning cone-shaped heads of glossy, ebony seeds on stalks that grow to 180cm (71"") tall. This heat tolerant, ornamental sorghum matures early... Read More",//www.westcoastseeds.com/cdn/shop/files/Ecj-y_LExFZBkZCVhKi-cDsBbo-ZjLU11RvTxTjoN5JxvQ_515x640_crop_center.jpg?v=1698866002
Yu Tsai Sum,"Yu Tsai Sum is a type of choi sum. This summer crop is also known as Yu Choi. Grown for tender flower bud stalks (yellow flowers) and glossy, bright green leaves, it is mild and sweet when cooked briefly. Read More",//www.westcoastseeds.com/cdn/shop/products/MU536-1_515x640_crop_center.jpg?v=1610586527
Traviata Organic,"Traviata Organic eggplant seeds produce relatively large, spineless plants. The fruits are large, very dark purple, and have shiny skins and an overall appealing look. Read More",//www.westcoastseeds.com/cdn/shop/products/EG417-1_515x640_crop_center.jpg?v=1610654764
Sorghum Broom Corn,"This tall heirloom cousin of corn produces huge seed heads 60-100cm (24-36”) long. While technically edible, Sorghum Broom Corn seeds are better used as an ornamental, or as a pollen screen between main crop corn varieties. Read More",//www.westcoastseeds.com/cdn/shop/products/Sorghum-Broom-Corn_515x640_crop_center.jpg?v=1610587819
Formula Mix,"This colourful blend of California Poppies includes yellow, orange, red, purple, and white flowers. Read More",//www.westcoastseeds.com/cdn/shop/products/FL4004-California-Poppy-Formula-Mix-20200729_110738_515x640_crop_center.jpg?v=1628544008
Redbor Coated,Redbor kale seeds produce tall plants with the darkest red colour of all kales. After frost the leaves turn even darker and sweeter at the same time. Read More,//www.westcoastseeds.com/cdn/shop/products/KL424-1_515x640_crop_center.jpg?v=1610585964
Capriccio,"The plants of Capriccio cabbage seeds have tightly packed centers, with incredible flavour and a crunchy texture that will keep you coming back for more. Read More",//www.westcoastseeds.com/cdn/shop/products/CB224-Capriccio-Cabbage-Seeds_515x640_crop_center.jpg?v=1610656274
Lemon Bush,"Lemon Eucalyptus, aka Lemon-scented Gum, is a highly fragrant tree that has green, lance-shaped leaves and a smooth, grey bark. It has... Read More",//www.westcoastseeds.com/cdn/shop/files/ETu8g_acnTpHvO2P8mAV4FgBq77-A_QiL2wnevfUsbH5cA_515x640_crop_center.jpg?v=1698865997
Fioretto 60,"This is the first true sweet sprouting cauliflower to hit the market. Like sprouting broccoli, it was bred to have longer interior stems, inside the head. Read More",//www.westcoastseeds.com/cdn/shop/products/CF345-Fioretto-60-0X7A9919_515x640_crop_center.jpg?v=1610656635
Trevi,"Enjoy the uniform, long-lasting, lime green heads over a long autumn harvest. The flavour is superior and the texture is firm and crisp. The extraordinary vivid colour of this unique hybrid cauliflower is sure to impress. Read More",//www.westcoastseeds.com/cdn/shop/products/CF348-TREVI-Cauliflower_515x640_crop_center.jpg?v=1630264715
Purple Queen,"These slightly curved, round, stringless pods grow 15cm (6”) long. Harvest the abundant pods when they are pencil-thick. Though determinate, and very much a compact bush bean at only 45cm (18”) tall, the plants produce over a long period if kept picked. Read More",//www.westcoastseeds.com/cdn/shop/products/BN_Purple-Queen-0X7A5948_515x640_crop_center.jpg?v=1610654161
