Names,Description,Image_URL1,Image_URL2,Image_URL3
NewAlfalfa (sprouts),"These popular sprouts have a mild, nutty flavor and go well with many dishes.
Alfalfa is affectionately called the “queen of sprouts.”
As a legume, it is particularly rich in protein.
Do not harvest before the 7th germination day!",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg34_shop_1723131260_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg34_design-2_1723131260_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg34_design-1_1723131260_1.jpg
NewBasil (sprouts),"Aromatic, fresh taste.
Contains many essential oils and enzymes.
Goes particularly well with Mediterranean dishes, salads and dips as well as vegetables.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg44_shop_1723131487_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg44_design-2_1723131487_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg44_design-1_1723131487_1.jpg
NewBeetroot (sprouts),"Mildly spicy, slightly earthy and smoky taste.
These bright purple sprouts are very decorative.
They lend color to cold plates and go well with vegetable smoothies.
Contain a lot of betaine.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg24_shop_1723131047_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg24_design-2_1723131047_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg24_design-1_1723131047_1.jpg
NewBeluga lentils (sprouts),"Nutty, intense, aromatic taste.
Particularly rich in vegetable protein and healthy ingredients.
Good in salads and soups, vegetable dishes, wraps or patties.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg22_shop_1723131007_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg22_design-2_1723131007_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg22_design-1_1723131007_1.jpg
NewBroccoli (sprouts),"Strong, spicy, cabbage-like taste.
The sprouts become spicier as they ripen and work well in mashed potato, salads or stews and are rich in the health-promoting antioxidant sulforaphane.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg28_shop_1723131140_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg28_design-2_1723131140_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg28_design-1_1723131140_1.jpg
NewBuckwheat (sprouts),"Slightly sweet and nutty flavor. The sprouts of this member of the knotweed family contain a lot of health-promoting lysine. Very
nice in muesli, smoothies, as a topping in dishes or as a baking ingredient.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg20_shop_1723130968_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg20_design-2_1723130968_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg20_design-1_1723130968_1.jpg
NewCarrot (sprouts),"Fresh, typically carroty taste with a slightly bitter aftertaste.
Rich in carotenes.
Good in salads, soups, terrines, cold sauces, on cream cheese or as a pancake filling.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg54_shop_1723131657_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg54_design-2_1723131657_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg54_design-1_1723131657_1.jpg
NewCima di rapa (sprouts),"Very fine, pleasantly spicy taste.
Use to spice up vegetable dishes, raw food plates, salads and dips.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg42_shop_1723131448_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg42_design-2_1723131448_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg42_design-1_1723131448_1.jpg
NewCress (sprouts),"Slightly spicy and tart in its flavor. Very versatile in savory dishes, such as dips, salads and toast and refining vegetables.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg14_shop_1723130848_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg14_design-2_1723130848_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg14_design-1_1723130848_1.jpg
NewFenugreek (sprouts),"Tart and spicy with slightly bitter notes reminiscent of oriental cooking.
Works well with curries.
Rich in essential oils.
Stimulates the appetite, improves PMS and menopausal symptoms.",https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg18_shop_1723130928_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg18_design-2_1723130928_1.jpg,https://cdn.live.srag.cahosting.de/media/catalog/product/cache/1b8f60cb7c11172c9e8d369ea19e612a/m/g/mg18_design-1_1723130928_1.jpg
