Name,Image URL 1,Mature Height,Mature Width,Sun,Bloom Size,Habit,Genus,Species,Variety,Product,Sun/Shade,Bloom Season Start,Bloom Season End,Bloom Color,Foliage Color,Resistance,Characteristics,Uses,Zone
Cheyenne Spirit Coneflower Seeds,"https://www.parkseed.com/media/catalog/product/5/1/51231_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",2.5 Feet,20 IN,Full Sun,0 IN,Compact,Echinacea,purpurea,Cheyenne Spirit,"Perennials, Seeds",Full Sun,Mid Summer,Early Fall,"Coral, Cream, Gold, Mix, Multi-Color, Orange, Pink, Yellow",Dark Green,"Cold Hardy, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Award Winner, Bird Lovers, Bloom First Year, Butterfly Lovers, Easy Care Plants, Ever Blooming, Flower, Free Bloomer, Long Bloomers, Repeat Bloomer, Rose Companions, Season Extenders","Beds, Border, Containers, Cut Flowers, Everlastings, Outdoor","4, 5, 6, 7, 8, 9"
Mother of Thyme Seeds,"https://www.parkseed.com/media/catalog/product/0/2/02016.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",6 IN,3 Feet,"Full Sun, Part Shade",0 IN,"Cold Hardy, Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant",Thymus,serphyllum,"Herbs, Perennials, Seeds","Full Sun, Part Shade",Early Summer,Late Summer,"Lavender, Purple",Medium Green,Prostrate,"Bloom First Year, Butterfly Lovers, Direct Sow, Easy Care Plants, Edible, Evergreen, Flower, Fragrance, Herbs, Long Bloomers","Baskets, Beds, Border, Containers, Cuisine, Foliage Interest, Ground Cover, Outdoor, Winter Interest","4, 5, 6, 7, 8, 9",
Munstead Lavender Heirloom Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01137.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",90,18 IN,24 IN,Full Sun,,,,,,,,,,,,,,"Beds, Border, Containers, Cuisine, Cut Flowers, Foliage Interest, Hedge, Ornamental, Outdoor, Winter Interest"
Calypso Cilantro Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00596-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Compact,Lavandula,angustifolia,Munstead,"Herbs, Perennials, Seeds",Full Sun,Mid Summer,Late Summer,Lavender,"Blue Green, Silver/Gray",90,"Cold Hardy, Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant","Butterfly Lovers, Edible, Evergreen, Flower, Fragrance, Free Bloomer, Heirloom, Herbs, Long Bloomers, Pruning Recommended, Rose Companions",Heat Tolerant
SimplyHerbs™ Rosemary Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52640.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Medium Green,Coriandrum,sativum,Calypso,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,Pink,0.25,Upright,50,"Early Fall, Early Summer, Late Spring, Late Summer, Mid Fall","Bloom First Year, Butterfly Lovers, Easy Care Plants, Edible, Evergreen, Fragrance, Herbs, Pest Fighter, Rose Companions"
Organic Arugula Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05891-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",50,2.4 Feet,12 IN,"Full Sun, Part Shade",Mound-shaped,Rosmarinus,officinalis,SimplyHerbs™ ,"Herbs, Perennials, Seeds",Full Sun,Mid Summer,Late Summer,Blue,Medium Green,42,"Early Summer, Late Summer, Mid Summer","Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant",
PowWow® Wild Berry Coneflower Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00769_2.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,"Beds, Containers, Cuisine",Eruca,sativa,"Annuals, Herbs, Seeds, Vegetables","Full Sun, Part Shade",Medium Green,Mound-shaped,50,Heat Tolerant,"Butterfly Lovers, Easy Care Plants, Edible, Fragrance, Herbs",,,,"Beds, Border, Containers, Cut Flowers, Everlastings, Fall Color, Outdoor, Wildflowers"
Dill Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00772.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",24 IN,16 IN,Full Sun,3-4 IN,,,,,,,,,,,Compact,"Cold Hardy, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Award Winner, Bird Lovers, Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Easy Care Plants, Ever Blooming, Flower, Free Bloomer, Long Bloomers, Pest Fighter, Season Extenders",
'Magnus' Coneflower Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00825.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",50,3 Feet,12 IN,Full Sun,Dark Green,Echinacea,purpurea,PowWow® Wild Berry,"Perennials, Seeds",Full Sun,Early Summer,Mid Fall,"Magenta, Purple, Rose",4,"Disease Resistant, Heat Tolerant, Pest Resistant","Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Pest Fighter","Beds, Cuisine, Foliage Interest, Outdoor","3, 4, 5, 6, 7, 8, 9"
Large Leaf Italian Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00271.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",3.5 Feet,16 IN,Full Sun,3-4 IN,"Early Fall, Early Summer, Late Summer, Mid Fall, Mid Summer",Anethum,graveolens,"Annuals, Herbs, Seeds",Full Sun,Mid Summer,Yellow,Light Green,Upright,50,,,,"Cut-and-Come-Again, Edible, Fragrance, Herbs, Pest Fighter, Pruning Recommended"
Peppermint Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01347.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,Drought Tolerant,"Bird Lovers, Easy Care Plants, Flower","Cut Flowers, Everlastings, Ornamental, Outdoor","4, 5, 6, 7, 8, 9"
Sweet Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00304-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Upright,Echinacea,purpurea,'Magnus',"Perennials, Seeds",Full Sun,Early Summer,Early Fall,"Magenta, Pink",4,75,"Early Summer, Late Summer, Mid Summer","Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant",
