Name,Other_Name,Image URL 1,Image URL 2,Description
Cucumber Seeds,#CM1596-China Long #4 F1,//agrohaitai.com/cdn/shop/products/china_long_suyo_cucumber_8ac7924d-9f4f-4fc7-a45b-8f9a7ef886a0_60x.jpg?v=1611607899,,"
                      
                        Suyo-type Chinese cucumber. Early maturity, Spiny fruits, 12~14” long. Crispy and tasty. Tolerant to heat. Resistant to DM, PM, and viruses. High yielding. Good for planting in open field and greenhouse.
Avg. 19,600 seeds/lb, 1,200 seeds/oz. Packet: 20 seeds.  
                      
                    "
Pole Bean Seeds,#BE1507-Bai Bu Lao,,//agrohaitai.com/cdn/shop/products/IMG_6286-chinese_pole_bean_baibulao_60x.jpg?v=1641323290,"
                      
                        Bai Bu Lao ( Baibulao ) means the pods keep tender and stringless even if they appear white. It is one of the most popular pole beans in China, especially in Northern China. It is also called Lao Lai Shao ( Laolaishao).
55~60 days. The pods are flat in light green color at an early stage, becoming round and white later with an average size of 10~12” long, 0.5"" wide. The pods are stringless and stay tender for a long period without fibrosis. The plants are vigorous and tolerant to cold and diseases. High yields. White seeds.
White seeds. Avg. 1,100 seeds/lb, 60 seeds/oz. Packet: 25 seeds.
                      
                    "
Edible Chrysanthemum Seeds,#TH1090-Oasis,,//agrohaitai.com/cdn/shop/products/Chrysanthemum--Oasis_60x.jpg?v=1705353673,"
                      
                        One of the most popular varieties. Small-leaf type with deeply serrated dark green leaves. Vigorous growing, more branches, and high yielding. Disease tolerant. Delicious and aromatic. It can be used for sprouting and baby greens. It is the main variety for commercial growers in North America.
Avg. 236,000 seeds/lb, 14,000 seeds/oz. Packet: 2g, approx. 1000 seeds.
Germination Rate: 70%
                      
                    "
Spinach Seeds,#SP1503-Green Arrows F1,,//agrohaitai.com/cdn/shop/products/DSC_0005-greenarrows35d_60x.jpg?v=1678458910,"
                      
                        Asian Leaf variety. Pointed Leaves in a dark green color. Slow bolting, cold, and heat tolerant. Light pink root. Resistant to DM race 1-11, 14, 15. It is best sowed in the spring and fall seasons.
Avg. 32,000 seeds/lb, 2,000 seeds/oz. Packet: 5g, approx 350 seeds.
                      
                    "
Luffa Seeds,#LU1024-Emerald F1,,//agrohaitai.com/cdn/shop/products/DSC05612-emerald_60x.jpg?v=1704818622,"
                      
                        Early maturity. Smooth type. The fruits are average 45~50 cm and 4~5 cm in diameter, 300g in weight.
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
Avg. 4,000 seeds/lb, 250 seeds/oz. Packet: 10 seeds.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Cilantro Seeds,#CL1116-Leisure,,//agrohaitai.com/cdn/shop/products/leisure_60x.jpg?v=1647110003,"
                      
                        35~40 days. Heat tolerant, uniform, and slow to bolt. Large and glossy green leaves. One of the most popular varieties.  Also frequently used for microgreens.
Avg. 49,000 seeds/lb, 3,000 seeds/oz. Packet: 2g, approx. 180 seeds.
                      
                    "
Chinese Lettuce Seeds,#LE1330-Sword Choy,,//agrohaitai.com/cdn/shop/products/DSC_1537-swordchoy_60x.jpg?v=1586438708,"
                      
                        Chinese lettuce or A Choy. 40~45 days after transplanting. Pointed narrow leaves, upright. Tolerant to cold and heat. DM resistant. It can be planted in spring, summer, and fall. The optimum temperature for germination is 15~20 °C. Higher temperature inhibits germination.
Avg. 440,000 seeds/lb, 22,000  seeds/oz. Packet: 400 seeds, approx. 0.5g.
                      
                    "
Yard Long Bean Seeds,#BL1488-You Fong Wong,,//agrohaitai.com/cdn/shop/products/DSC02148-youfongwong_60x.jpg?v=1586546687,"
                      
                        5Late maturity. Black seeds. Shiny green pod, 58~63 cm (23~25”). Thick-skinned and tolerant to storage. Tender and delicious. Tolerant to heat and diseases. Productive.
This variety is day-length sensitive and flowering is delayed in the long-day period. It generally starts picking after mid-August in Southern Ontario. Customers in Canada and the northern United States are recommended to use BL1541-Fong #1. It can be harvested early in mid-July.
 Avg. 3,000 seeds/lb, 180 seeds/oz. Packet: 25 seeds.
The germination rate is approx. 85%.

                      
                    "
Celtuce Seeds ,#CT1258-Summer 38,,//agrohaitai.com/cdn/shop/products/IMG_5467-celtuc3_summer_38_60x.jpg?v=1657421911,"
                      
                        Pointed leaf. Thick stem, up to 2 lbs. Tolerant to heat and cold, slow bolting. Suitable for spring, summer, and fall planting. The optimum temperature for germination is 15~20℃.
Avg. 348,000 seeds/lb, 21,000 seeds/oz. Packet: 500 seeds.
                      
                    "
Chinese Chive Seeds,#CV1098-Dah Ye,//agrohaitai.com/cdn/shop/products/dahye-DSC00776_60x.jpg?v=1586694161,,"
                      
                        Winter-dormant type. The plant is up to 45 cm tall. Deep green leaves are an average of 1 cm wide. Excellent cold tolerance, fast-growing, especially in early spring, and high yielding. Excellent garlic flavor. 
Avg. 110,000 seeds/lb, 6,000 seeds/oz. Packet: 2g, approx. 400 seeds.
                      
                    "
Suyo Long Cucumber Seeds,#CM1590-China Long #2 F1,,//agrohaitai.com/cdn/shop/files/IMG_8218-chinese_suyo_cucumber_china_long_2-1_60x.jpg?v=1689095450,"
                      
                        Suyo-type Chinese cucumber. Early maturity. Shiny dark green fruits have fine spines, 13~15” long. Crispy and tasty. Tolerant to heat. Good resistance to mildew. High yielding. Good for planting in open fields and greenhouses.
Avg. 16,400 seeds/lb, 1,000 seeds/oz. Packet: 20 seeds.
                      
                    "
Bunching Onion Seeds,#ON1500-Ishikura,,//agrohaitai.com/cdn/shop/products/DSC_7515-ishikura_60x.jpg?v=1673973092,"
                      
                        60~70 days for fresh bunching onion. Single long white stalk, up to 18"". Hardy and tolerant to cold. Excellent adaptability. Good for sowing in spring.
Avg. 226,000 seeds/lb, 13,000 seeds/oz. Packet: 2g, approx. 1,000 seeds.
                      
                    "
Snow Pea Seeds,#PE1445-Oregon Giant,,//agrohaitai.com/cdn/shop/products/DSC_0945-oregongiant_60x.jpg?v=1695154456,"
                      
                        60~70 days. Flat pods, high yielding, tender and delicious, 4~5"". Highly disease-resistant to Common Wilt, Enation Mosaic PM.  It is the best variety for growing pea shoots (Dou Miu). 
Avg. 1,200 seeds/lb, 70 seeds/oz.
The germination rate is approx. 60%.
                      
                    "
Water Spinach Seeds,#WS1559-HK-3 White,,//agrohaitai.com/cdn/shop/products/DSC_0875-HK_3_water_spinach_60x.jpg?v=1611102348,"
                      
                        Also known as Kong Xin Cai. 45 days. Thick and white stem. Medium-sized leaves in light green color. High yield. Excellent variety for microgreens.
Avg. 9,500 seeds/lb,  600 seeds/oz. 
The germination rate is approx. 80%.
This variety is currently unavailable to customers in the USA. 
 
                      
                    "
Luffa Seeds,#LU1188-Tri-Leaf,,//agrohaitai.com/cdn/shop/products/IMG_2098-smooth_luffa_tri_leaf_60x.jpg?v=1663007027,"
                      
                        Smooth-type luffa (sponge gourd). Open-pollinated variety. Early maturity. 50~55 days after transplanting. Green cylindrical fruit is an average of 8~12” long. Tolerant to heat and disease. Vigorous growing and high yield.
Avg. 3,800 seeds/lb, 250 seeds/oz. Packet: 10 seeds.
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Yard Long Bean Seeds,#BL1541-Fong #1,,//agrohaitai.com/cdn/shop/products/DSC_1410-fong_1_60x.jpg?v=1699219967,"
                      
                        Early maturity. Green pod, 60~65 cm (24~26”). Thick-skinned, very slow fiber development. Tender and delicious. Tolerant of heat and diseases. Productive. 
Avg. 2,400 seeds/lb, 150 seeds/oz. Packet: 25 seeds.
                      
                    "
Hyacinth Bean Seeds,#BH1068-Purple Moon,,//agrohaitai.com/cdn/shop/products/0155e581-d955-43c0-94c1-e735b78b22f7_60x.jpg?v=1586640230,"
                      
                        Annual vine plant with early maturity. Light purple flowers, shiny purple pods, and purple vines. Pod size: 8 cm x 3 cm. Immature pods are eatable after being cooked. It can be planted for ornamental plants.
Recommended: 3 seeds per hill, 40~50 cm between hills.
Black seeds. Avg. 1,200 seeds/lb, 75 seeds/oz. Packet: 10 seeds.
Germination rate: Approx. 70%
                      
                    "
Hon Tsai Tai Seeds,#YC1582-Hon Tsai Tai #1,//agrohaitai.com/cdn/shop/products/hon_tsai_tai_1_60x.jpg?v=1611104916,,"
                      
                        Heirloom variety in China. 50~60 days after direct sowing. Thick and shiny purple stalk. Up to 15 stalks per plant. Disease resistant. Good for sowing in late summer and fall. A perfect variety for purple Yu Choy Sum production.
Avg. 157,000 seeds/lb, 9700 seeds/oz. 
                      
                    "
Chinese Kale Seeds,#CK1506-Early Jade F1,,//agrohaitai.com/cdn/shop/products/DSC_0620-earlyjades42d_60x.jpg?v=1586441414,"
                      
                        Early maturity, 45~50 days in spring, 40~45 days in summer and fall. Dark Green, round leaves. Vigorous and uniform. Strong downy mildew resistance. Slow bolting. Good for Gailan and baby Gailan (Gailan Miu).
Avg. 89,000 seeds/lb, 7,000 seeds/oz. Packet: 1g, approx. 250 seeds.
                      
                    "
Chinese Toon Seeds,#TN1021-North Red,,//agrohaitai.com/cdn/shop/products/DSC_2982-northred_60x.jpg?v=1611207741,"
                      
                        The young leaves and shoots can be used as a vegetable called Hsiang Chun Ya (Xiang Chun Ya ). Crispy, delicious, aromatic. Vigorous growing.  Chinese Toon seeds are excellent for growing microgreens.
It is generally tolerant of cold weather as low as -25°C (-13°F). Young trees may be more vulnerable to cold damage than mature trees. It's important to provide proper care, including mulching and watering, to help young trees establish and survive through cold weather.
Avg. 42,000 seeds/lb, 2,600 seeds/oz. Packet: 50 seeds.
Seed pre-treating and germination: As the seeds are somewhat difficult to germinate, it is recommended the seeds be soaked in warm water (around 25C°/ 77 F° ) for 24 hours. Change the water 4 times during the soaking period. The optimum germination temperature is 20-25C°/ 68-77 F°. 
Seed storage: Chinese toon seeds must be kept dry and at a low temperature. We recommend using the seeds as soon as possible when you get them since the seeds lose viability rapidly.
Due to shipping restrictions, we can not ship this variety to the USA without an import permit from buyers. 
                      
                    "
Luffa Seeds,#LU1539-Yu Sing F1,,//agrohaitai.com/cdn/shop/products/DSC_0230-yusing_60x.jpg?v=1586733064,"
                      
                        Ridged type. Early maturity, 55~60 days after transplanting. Beautiful fruit. Uniform and straight. 20~24” long in dark green color. Firm and tender flesh. Tolerant to hollowness. Tolerant to heat. Disease resistant. High yield.
Avg. 3400 seeds/lb, 210 seeds/oz. Packet: 10 seeds.
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Yard Long Bean Seeds,#BL1232-Noodle King,,//agrohaitai.com/cdn/shop/products/DSC_0870-nooldeking-t60d_60x.jpg?v=1647541552,"
                      
                         Early maturity. Vigorous and productive. The pod is approx. 75cm long, deep green. Small seeds.
Brown seeds. Avg. 3,000 seeds/lb, 180 seeds/oz. Packet: 25 seeds.
                      
                    "
Water Spinach Seeds,#WS1561-Green Broad #3,,//agrohaitai.com/cdn/shop/products/IMG_1151-microgreens_water_spinach_green_broad_60x.jpg?v=1647350816,"
                      
                        Also known as kong xin cai. 45 days. Thick stem, bright green color. Large leaves. High yield.
Avg. 8,000 seeds/lb,  490 seeds/oz. 
Germination rate: Approx. 70%
This variety is currently unavailable to customers in the USA. 
                      
                    "
Winter Gourd Seeds,#WM1533-Wax Boy # 2 F1,,//agrohaitai.com/cdn/shop/products/IMG_0505-wax_gourd_wax_boy_2_60x.jpg?v=1611512968,"
                      
                        90~100 days to mature after transplanting. Round fruits with the wax developing once mature, 15~18 LBs.
Treated seeds.
Avg. 7,900 seeds/lb, 500 seeds/oz. Packet: 10 seeds.
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
                      
                    "
