Name,Image URL 1,Image URL 2,Details
Banana Legs Tomato Seeds,https://www.seeds-gallery.eu/8467-large_default/banana-legs-tomato-seeds.jpg,https://www.seeds-gallery.eu/8467-large_default/banana-legs-tomato-seeds.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Tomato Variety ?
            Indeterminate
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                      Plant height ?
            Plant height 2.5 m
                      Fruit Weight ?
            Fruit Weight: 80 - 120 g
                      Origin Country of Variety ?
            Variety from: USA
                  "
Armenian Yard Long Cucumber Seeds,https://www.seeds-gallery.eu/11536-large_default/armenian-yard-long-cucumber-seeds.jpg,https://www.seeds-gallery.eu/11536-large_default/armenian-yard-long-cucumber-seeds.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Edible ?
            Edible
                      Germination ?
            Germination rate 90%
                      Pretreatment of sowing ?
            Soak in water before sowing 12-24 h
                      Sowing depth ?
            Sowing depth 5 mm
                      Life Cycle:
            Annual Plant: Yes
                      Plant is suitable for growing ?
            The plant is suitable for growing in a greenhouse
The plant is suitable for outdoors cultivation
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                      Fruit Weight ?
            Fruit Weight: 2.5 - 3 kg
                      Origin Country of Variety ?
            Variety from Armenia
                      Resistance to ?
            Resistant to: Tomato Mosaic Virus (ToMV)
                      Seeds Gallery recommend this plant ?
            Seeds Gallery recommend this plant!
                      Scientific name:
            Cucumis melo
                      Growth Rate ?
            Fast Growth Rate
                      Type:
            Vegetable Seeds
                      Common Name:
            Cucumber
                      Planting Time?
            Planting Time: Spring
                      Indoor/Outdoor?
            Indoor/Outdoor: Outdoor
                      Soil Type?
            Soil Type: Any
                      Watering?
            Watering: High
                      Cultivating Difficulty?
            Cultivating Difficulty: Very easy
                      Climate?
            It thrives in all climatic conditions
                  "
Black Corn Seeds Black Aztek,https://www.seeds-gallery.eu/10762-large_default/black-corn-seeds-black-aztek.jpg,https://www.seeds-gallery.eu/10762-large_default/black-corn-seeds-black-aztek.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Edible ?
            Edible
                      Germination ?
            Germination rate 85%
                      Sowing depth ?
            Sowing depth 4 cm
                      Plant is suitable for growing ?
            The plant is suitable for outdoors cultivation
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                  "
Chayote Seeds (Sechium edule),https://www.seeds-gallery.eu/11532-large_default/chayote-seeds-sechium-edule.jpg,https://www.seeds-gallery.eu/11532-large_default/chayote-seeds-sechium-edule.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Life Cycle:
            Perennial plant :  Yes
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                  "
Cherry Kumato Black Tomato Seeds,https://www.seeds-gallery.eu/8649-large_default/cherry-kumato-black-tomato-seeds.jpg,https://www.seeds-gallery.eu/8649-large_default/cherry-kumato-black-tomato-seeds.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Sowing depth ?
            Sowing depth 5 mm
                      Life Cycle:
            Perennial plant :  Yes
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                      Suitable for growing in flower pot ?
            Suitable for pot: Yes
                  "
Chickpea Seeds (Cicer arietinum),https://www.seeds-gallery.eu/8651-large_default/chickpea-seeds-cicer-arietinum.jpg,https://www.seeds-gallery.eu/8651-large_default/chickpea-seeds-cicer-arietinum.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Edible ?
            Edible
                      Pretreatment of sowing ?
            Soak in water before sowing: 1-6 h
                      Sowing depth ?
            Sowing depth 4 cm
                  "
Lemon Cucumber Seeds,https://www.seeds-gallery.eu/8356-large_default/lemon-cucumber-seeds.jpg,https://www.seeds-gallery.eu/8356-large_default/lemon-cucumber-seeds.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Edible ?
            Edible
                      Sowing depth ?
            Sowing depth 5 mm
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                      Origin Country of Variety ?
            Variety from: USA
                  "
Lentil Seeds (Lens culinaris),https://www.seeds-gallery.eu/8344-large_default/lentil-seeds-lens-culinaris.jpg,https://www.seeds-gallery.eu/8344-large_default/lentil-seeds-lens-culinaris.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Medicinal Plant ?
            Medicinal Plant: Yes
                  "
Garden Peach Tomato Seeds,https://www.seeds-gallery.eu/5804-large_default/garden-peach-tomato-seeds.jpg,https://www.seeds-gallery.eu/5804-large_default/garden-peach-tomato-seeds.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Tomato Variety ?
            Indeterminate
                      Plant is suitable for growing ?
            The plant is suitable for growing in a greenhouse
The plant is suitable for outdoors cultivation
                      Manufacturer ?
            Manufacturer: Seeds Gallery
                      Plant height ?
            Plant height 1.5 m
                      Fruit Weight ?
            Fruit weight: Up to 90 g
                      Origin Country of Variety ?
            Variety from: Peru
                      Seeds Gallery recommend this plant ?
            Seeds Gallery recommend this plant!
                  "
Navy beans Seeds,https://www.seeds-gallery.eu/8466-large_default/navy-beans-seeds.jpg,https://www.seeds-gallery.eu/8466-large_default/navy-beans-seeds.jpg,"
                      Handpicked seeds ?
            Handpicked seeds
                      HEIRLOOM ?
            Yes
                      Organic Seeds ?
            Organic Seeds
                      Organic/natural ?
            Organic/Natural: Yes
                      Plant height ?
            Plant height (about) 60 cm (23.622 inch)
                  "
