Name,Image URL 1,Details
Eggplant - ES-1302,../invoices/uploads/imgs/products/ES-13026714.jpg,"Plant Cover: Very good
	Plant Height: 100-120 cm
	Fruit Shape: Teardrop
	Fruit Size: 18 x 6 cm
	Fruit Color: Dark purple
	Fruit Weight:
	Calyx Color: Green
	Spines: None
	Maturity: 45-50 days
	HR:
	IR: V, TMV
	Cultivation: Both open field and greenhouse
	Comments:
	
		This variety has a vigorous plant, perfectly performing in greenhouse but can be cultivated in open field as well.
		Fruit is very uniform, glossy dark purple-black color with a green calyx."
Eggplant - ES-1303,../invoices/uploads/imgs/products/ES-13031274.jpg,"Plant Cover: Very good
	Plant Height: 100-120 cm
	Fruit Shape: Tear drop
	Fruit Size: 14 x 8 cm
	Fruit Color: Dark purple
	Fruit Weight: 250 gr
	Calyx Color: Green
	Spines: None
	Maturity: 45-50 days
	HR:
	IR: V, TMV
	Cultivation: Both open field and greenhouse
	Comments:
	
		Strong plant, well covering leave.
		Fruit is very uniform, firm flesh."
Eggplant - ES-1304,../invoices/uploads/imgs/products/ES-13043817.jpg,"Plant Cover: Very good
	Plant Height: 100-120 cm
	Fruit Shape: oval
	Fruit Size: 10 cm
	Fruit Color: Dark Purple
	Fruit Weight: 150-180 gr
	Calyx Color: Green
	Spines: None
	Maturity: 45-50 days
	HR:
	IR: TMV
	Cultivation: Both open field and green house
	Comments:
	
		Vigorous plant with large size, well covering leaves.
		Fruit is oval shape, firm flesh, bright dark purple fruit color."
Eggplant - ES-1305,../invoices/uploads/imgs/products/ES-13057855.jpg,"Plant Cover: Very good
	Plant Height: 100-120 cm
	Fruit Shape: Tear drop
	Fruit Size: 15 cm
	Fruit Color: Purple with white strips
	Fruit Weight: 180-200 gr
	Calyx Color: Green
	Spines: None
	Maturity: 45-50 days
	HR:
	IR: TMV
	Cultivation: Both open field and green house
	Comments:
	
		Vigorous plant, good leaf cover and disease resistance.
		Fruit is purple with white strips, tear drop type, very compact flesh."
Eggplant - ES-1306,../invoices/uploads/imgs/products/ES-13066666.jpg,"Plant Cover: Very good
	Plant Height: 140-150 cm
	Fruit Shape: Tear drop
	Fruit Size: 16-20 cm
	Fruit Color: Dark purple
	Fruit Weight: 180-200 gr
	Calyx Color: Green
	Spines: None
	Maturity: 50 days
	HR:
	IR: TMV
	Cultivation: Both open field and green house
	Comments:
	
		Vigorous plant, good leaf cover and disease resistance.
		Fruit is dark purple color, tear drop shape, compact flesh, high yield."
Eggplant - ES-1307,../invoices/uploads/imgs/products/ES-13075692.jpg,"Plant Cover: Very good
	Plant Height: 120-140 cm
	Fruit Shape: Long tapered
	Fruit Size: 16-20 cm
	Fruit Color: Dark purple
	Fruit Weight: 200-250 gr
	Calyx Color: Green
	Spines: None
	Maturity: 50 days
	HR:
	IR: TMV
	Cultivation: Both open field and green house
	Comments:
	
		Vigorous plant, good leaf cover and disease resistance.
		Fruit is dark purple color, long tapered shape, compact flesh, high yield."
Eggplant - ES-1308,../invoices/uploads/imgs/products/ES-13086206.jpg,"Plant Cover: Very good
	Plant Height: 120 cm
	Fruit Shape: Long tapered
	Fruit Size: 20-25 cm
	Fruit Color: Dark purple
	Fruit Weight: 200-220 gr
	Calyx Color: Green
	Spines: None
	Maturity: 50 days
	HR:
	IR: TMV
	Cultivation: Both open field and green house
	Comments:
	
		Vigorous plant, compact plant type. Good leaf cover.
		Fruit is purple in color, high yield, suitable for open field. Hot resistance."
Eggplant - ES-1309,../invoices/uploads/imgs/products/ES-13093407.jpg,"Plant Cover: Very good
	Plant Height: 140-150 cm
	Fruit Shape: Long tapered
	Fruit Size: 18-22 cm
	Fruit Color: Purple
	Fruit Weight: 200 gr
	Calyx Color: Green
	Spines: None
	Maturity: 50 days
	HR:
	IR: TMV
	Cultivation: Both open field and green house
	Comments:
	
		Vigorous and tall plant, good leaf cover and disease resistance.
		Fruit is dark purple color, long tapered shape, compact flesh, good fruit setting even in cold condition."
Cherry Tomato - ES-1108,../invoices/uploads/imgs/products/ZEBRA148 F19976.jpg,
Cherry Tomato - ES-1109,../invoices/uploads/imgs/products/HM1852 F19542.jpg,
Cherry Tomato - ES-1110,../invoices/uploads/imgs/products/HM1850 F16779.jpg,
Cherry Tomato - ES-1111,../invoices/uploads/imgs/products/HM9110 F15142.jpg,
Cherry Tomato - ES-1112,../invoices/uploads/imgs/products/HM1941 F16951.jpg,
Cherry Tomato - ES-1113,../invoices/uploads/imgs/products/HM1942 F16751.jpg,
Cherry Tomato - ES-1114,../invoices/uploads/imgs/products/1617-142 F13076.jpg,
Cherry Tomato - ES-1115,../invoices/uploads/imgs/products/ZEBRA147 F17145.jpg,
Cherry Tomato - ES-1116,../invoices/uploads/imgs/products/HF-2 F15428.jpg,
Cherry Tomato - ES-1117,../invoices/uploads/imgs/products/7153 F1894.jpg,
Cherry Tomato - ES-1118,../invoices/uploads/imgs/products/HEARTS F11896.jpg,
Cherry Tomato - ES-1119,../invoices/uploads/imgs/products/Miracle F13609.jpg,
Cherry Tomato - ES-1120,../invoices/uploads/imgs/products/Poppy F13759.jpg,
Cherry Tomato - ES-1121,../invoices/uploads/imgs/products/Pink Baby F12193.jpg,
Cherry Tomato - ES-1122,../invoices/uploads/imgs/products/Sweet Honey F18806.jpg,
Cherry Tomato - ES-1123,../invoices/uploads/imgs/products/Beautiful F13920.jpg,
Cherry Tomato - ES-1124,../invoices/uploads/imgs/products/Sweet heart F19589.jpg,
Cherry Tomato - ES-1125,../invoices/uploads/imgs/products/Red Jade F16832.jpg,
Cherry Tomato - ES-1126,../invoices/uploads/imgs/products/Red Dawn F17717.jpg,
Cherry Tomato - ES-1127,../invoices/uploads/imgs/products/JIA JIA F13234.jpg,
Cherry Tomato - ES-1128,../invoices/uploads/imgs/products/JIN JIN F16777.jpg,
Cherry Tomato - ES-1129,../invoices/uploads/imgs/products/NI NI F13862.jpg,
Cherry Tomato - ES-1130,../invoices/uploads/imgs/products/Yingzi F19131.jpg,
Cherry Tomato - T-1016,../invoices/uploads/imgs/products/T-10278632.jpg,
Cherry Tomato - T-1024,../invoices/uploads/imgs/products/T-10605978.jpg,
Determinate Round Tomato - ES-1017,../invoices/uploads/imgs/products/T-10344999.jpg,
Determinate Round Tomato - ES-1018,../invoices/uploads/imgs/products/T-10379533.jpg,
Determinate Round Tomato - ES-1019,../invoices/uploads/imgs/products/T-10388555.jpg,
