Name,Image URL 1,Description,Family,Type,Native,Hardiness,Exposure,Plant_dimension,Variety_info,Attributes
Italian Genovese Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6027i_Basil-Italian-Genovese-ORG.jpg?v=1715192025&width=1445,"There is nothing like the aroma of basil in the summer! Genovese has the traditional fragrance and flavor, making it excellent for almost any basil dish, especially pesto. One of the most useful herbs, it also has beautiful, edible flowers. In a warm, sunny window, basil can grow indoors in the winter! A good container variety.",Family: Laminaceae,Type: Basil (Learn more),"Native: Probably Africa, but in cultivation for so long that it cannot be verified.",Hardiness: Frost-sensitive annual,Exposure: Full sun to part shade,"Plant Dimensions: 18""–24"" tall, 10"" wide","Variety Info: Large, dark green almond-shaped leaves. This is the true Italian pesto basil from the Genoa area of Italy, pesto capital of the world.","Attributes: Frost Sensitive, Good for Containers"
Tulsi Holy Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6132i_Basil-Holy-Tulsi.jpg?v=1708514541&width=1445,"Known as the Queen of Herbs in India, tulsi is considered to be sacred. This type of holy basil is also known as kapoor, or temperate basil. It is distinguished by its bubble-gum scent, frost-tolerance, and fast-growing nature. Its health-promoting properties are said to help combat stress and other medical concerns. If allowed to flower, it is a bee magnet and it may reseed. Grow indoors for a continuous supply of fresh leaves throughout the winter.",Family: Laminaceae,Type: Basil (Learn more),Native: Unknown,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: Up to 24"" tall and wide","Variety Info: This green-leaved, purplish-pink flowered tulsi basil has the aroma of bubble gum, with a spicy, fruity flavor. It is also known as kapoor or temperate tulsi, and has yet to be identified with a scientific name.","Attributes: Frost Tolerant, Good for Containers"
German Chamomile Seeds,//www.botanicalinterests.com/cdn/shop/files/5028i_Chamomile-German.jpg?v=1715191272&width=1445,"What could be more soothing than curling up at bedtime with a good book and a cup of chamomile tea made from flowers fresh from your garden? The flowers can also be dried for floral arrangements, pressed for crafts, or woven into charming wreaths, and their edible petals can be tossed into salads. In the garden, chamomile attracts beneficial insects and pollinators. ",Family: Asteraceae,Native: Africa and Europe,Hardiness: Annual; reseeds,Exposure: Full sun,"Plant Dimensions: 18""–30"" tall, 12""–18"" wide","Variety Info: Fern-like foliage on thin, light green stems, ¾"" apple-scented, white, daisy-like flowers with yellow centers. Blooms from late spring to summer.","Attributes: Attracts Pollinators, Attracts Beneficial Insects, Deer Resistant, Drought Tolerant, Good for Containers",
Tetra Dill Seeds,//www.botanicalinterests.com/cdn/shop/files/5047i_Dill-Tetra.jpg?v=1708516674&width=1445,"The refreshing flavor of dill will surely win you over (if you don't already love it)! 'Tetra' is a bushy, late flowering variety, meaning more leaf production for dill lovers. It is heat tolerant which makes it slow-to-bolt, so you will enjoy fresh picked, aromatic dill throughout the season. Dill is an important host plant for caterpillars of swallowtail butterflies. ",,,,,,,,
Borage Seeds,//www.botanicalinterests.com/cdn/shop/files/5026i_Borage.jpg?v=1715191001&width=1445,"This 2'–3' tall, versatile herb is exquisite in the garden. In addition to attracting bees and other beneficial insects, it can be used as a cover crop. Edible, blue and sometimes pink flowers with a cucumber-like flavor can be used fresh to garnish dips, salads, and summer drinks, or candied with sugar for later use. The leaves and stems are also edible, delicious steamed like spinach or chard. Fairly drought tolerant once established.",Family: Apiaceae,Native: Probably South Asia,Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: 30""–36"" tall, bushy plant","Variety Info: Tetra' has fern-like, softly delicate, dark green, aromatic leaves. It is a late-flowering variety, lending itself to more leaf production; it is used mainly for the leaves, not the seeds. Slow-to-bolt.","Attributes: Attracts Butterflies, Attracts Pollinators, Deer Resistant, Heat Tolerant, Frost Tolerant",
Long Standing Santo Cilantro/Coriander Seeds,//www.botanicalinterests.com/cdn/shop/files/6028i_Cilantro-Coriander-Long-Standing-ORG.jpg?v=1715191877&width=1445,"Also called Chinese parsley, cilantro has a thousand uses in the kitchen. 'Long Standing Santo' in particular has excellent flavor, improved leafiness and, as the name infers, it is slow to bolt. Add a sprig to chicken soup or add chopped leaves to Mexican, Caribbean, or Asian dishes. The crushed seeds add intriguing flavor to stews, beans, and cookies. Can be grown indoors for fresh cilantro leaves year-round. Cilantro grows best in cool temperatures.",,,,,,,,
English Thyme Seeds,//www.botanicalinterests.com/cdn/shop/files/5045i_Thyme-English.jpg?v=1715194200&width=1445,,Family: Boraginaceae,"Native: Africa, west Asia, and Europe",Hardiness: Annual; re-seeds readily,Exposure: Full sun to part shade,Bloom Period: Spring to summer,"Plant Dimensions: 2'–3' tall, 12""–18"" wide","Attributes: Attracts Pollinators, Attracts Beneficial Insects, Deer Resistant, Drought Tolerant, Edible Flower",
Rosemary Seeds,//www.botanicalinterests.com/cdn/shop/files/5039i_Rosemary-new2025.jpg?v=1721629065&width=1445,"Fall in love with the wonderful aroma of this versatile herb. It complements meats and vegetables, brings its unique, piney flavor to breads, and blends well with other herbs. A beautiful ornamental, it grows well in containers, and pollinators love the lavender flowers.",,,,,,,,
Common Chives Seeds,//www.botanicalinterests.com/cdn/shop/files/5031i_Chives-Common.jpg?v=1715191863&width=1445," Chives are super easy to grow, require little maintenance, tolerate drought, and come back year after year. Edible flowers are loved by bees, make a tasty chive vinegar, look and taste great in salads, and dry well for arrangements; foliage and/or flowers add a subtle onion flavor to many dishes. Great for containers; grow indoors for year-round harvest. ",Family: Apiaceae,Native: Mediterranean region,Hardiness: Annual,Exposure: Full sun to part shade,"Plant Dimensions: 12""–24"" tall, 6""–12"" wide","Variety Info: Long Standing Santo' has excellent flavor, improved leafiness and when hot weather arrives, is slower to bolt (prematurely go to seed) than other varieties.","Attributes: Good for Containers, Attracts Beneficial Insects","Attributes: Drought Tolerant, Good for Containers, Attracts Pollinators, Deer Resistant"
Garlic Chives Seeds,//www.botanicalinterests.com/cdn/shop/files/5030i_Chives-Chinese-Garlic.jpg?v=1708514454&width=1445,"Garlic chives are a versatile herb used widely in Asian cooking. When young, leaves and flower buds have a delicate aroma and a garlic flavor with hints of honey and onion. Add to stir fries, scrambled eggs, soups, and noodles, or sprinkle on meats and fish. The plant comes back every year, is good for containers and indoor growing for fresh herbs all winter long. Edible flowers are loved by bees.",,,,,,,,
