Seed_ID,Seed_Name,Soil_Types,Plant_Category,Season,Watering,Fertilization_List,Fertilization_Time,Best_Growing_Areas,Temperature,Soil_Temperature,Precipitation,Soil_Moisture,Sunshine_Duration,Humid,Watering_min_x,SeedName2,Plant_Name,English_Name,Area_Require,Height_Max,Soil_Depth,Precip,Image_URL
1,Abutilon abutiloides,"[""Loamy"",""Sandy""]",Flowering plant,"[""Summer"",""Rainy season""]",48,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,20.0,750.0,0.3,20000.0,70.0,,,,,,,,,
2,Abutilon americanum,"[""Loamy"",""Sandy""]",Herbaceous Perennial,"[""Spring"",""Summer""]",3-Feb,"[""NPK 20-20-20"",""Organic compost""]",4,"[""Central America"",""South America"",""Southeast Asia""]",24.0,25.0,1200.0,0.3,22000.0,60.0,,,,,,,,,
3,Abutilon Jacquinii,"[""Loamy"",""Sandy""]",Shrub,"[""Late spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Subtropical regions"",""Mediterranean climates""]",22.5,20.0,750.0,0.35,30000.0,70.0,,,,,,,,,
4,Abutilon Lignosum,"[""Loamy"",""Sandy""]",Shrub,"[""Summer""]",12-24 hours interval,"[""Nitrogen-based"",""Phosphorus-based""]",4 (weeks interval),"[""Tropical regions""]",24.0,22.5,650.0,0.3,20000.0,60.0,,,,,,,,,
5,Abietinella abietina,"[""Sandy loam"",""Clay loam"",""Peat moss""]",Moss,"[""Spring"",""Summer""]",48,"[""NPK fertilizer"",""Organic compost""]",4,"[""Temperate forests"",""Alpine regions""]",15.0,10.0,750.0,0.35,20000.0,80.0,,,,,,,,,
6,Hypnum abietinum,"[""Loam"",""Sandy loam"",""Peat""]",Moss,"[""Spring"",""Autumn""]",48,"[""Organic matter"",""Moss-specific fertilizers""]",12,"[""Cool and moist forests"",""Shaded areas with high humidity""]",15.0,10.0,750.0,0.45,20000.0,80.0,,,,,,,,,
7,Thuidium abietinum,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Summer"",""Fall""]",12,"[""Organic compost"",""Peat moss""]",8,"[""Temperate forests"",""Boreal forests"",""Mountainous regions""]",15.0,10.0,750.0,0.35,8000.0,70.0,,,,,,,,,
8,Abronias,"[""Sandy soil"",""Loamy soil"",""Well-draining soil""]",Flowering plant,"[""Late spring"",""Summer""]",12,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""Rocky slopes"",""Coastal areas""]",15.0,20.0,300.0,0.3,22000.0,70.0,,,,,,,,,
9,Abies alba,"[""Loamy"",""Sandy"",""Clayey""]",Coniferous,"[""Spring"",""Summer"",""Autumn""]",48 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6 weeks interval,"[""Central Europe"",""Eastern Europe"",""Caucasus""]",7.5,10.0,1000.0,0.3,1800.0,80.0,,,,,,,,,
10,Abies amabilis,"[""Loamy"",""Sandy"",""Well-drained""]",Evergreen Tree,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Pacific Northwest"",""British Columbia"",""Alaska""]",9.5,7.5,2500.0,0.4,1600.0,80.0,,,,,,,,,
11,Abronias,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Flowering plant,"[""Spring"",""Summer""]",Every 3-4 days,"[""Organic compost"",""Slow-release granular fertilizer""]",Every 6-8 weeks,"[""Coastal regions"",""Mediterranean climates""]",20.0,20.0,400.0,0.225,22000.0,60.0,,,,,,,,,
12,Abronias,"[""Sandy"",""Loamy""]",Flowering plant,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus""]",4-6 weeks interval,"[""Coastal regions"",""Desert areas""]",20.0,25.0,300.0,0.3,40000.0,60.0,,,,,,,,,
13,Abronias Fendleri,"[""Sandy"",""Loamy"",""Silty""]",Flowering Plant,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwestern United States"",""Northern Mexico""]",20.0,17.5,400.0,0.3,25000.0,60.0,,,,,,,,,
14,Abronias,"[""Sandy"",""Loamy""]",Flowering plant,"[""Spring"",""Summer""]",2,"[""NPK"",""Organic fertilizers""]",4,"[""Southwestern United States"",""Central America""]",27.5,22.5,750.0,0.3,20000.0,70.0,,,,,,,,,
15,Abronio Torreyi,"[""Sandy Loam"",""Loamy Sand""]",Flowering Plant,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southern California"",""Baja California""]",17.5,22.5,375.0,0.2,4000.0,60.0,,,,,,,,,
16,Abronias argillosa,"[""Sandy"",""Loamy"",""Clayey""]",Flowering plant,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6 weeks interval,"[""California"",""Arizona"",""Nevada""]",20.0,22.5,200.0,0.3,5000.0,60.0,,,,,,,,,
17,Abutilon Auritum,"[""Loamy"",""Sandy"",""Clayey""]",Shrub,"[""Spring"",""Summer""]",48,"[""NPK fertilizer"",""Organic compost""]",4,"[""Tropical regions"",""Subtropical regions""]",22.5,22.5,750.0,0.3,23000.0,70.0,,,,,,,,,
18,Abroma augustum,"[""Loamy"",""Sandy""]",Shrub,"[""Start of summer"",""Monsoon""]",2-3 hours interval,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",25.0,30.0,1500.0,0.45,14000.0,70.0,,,,,,,,,
19,Abroma Augusta,"[""Loamy"",""Sandy""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,27.5,125.0,0.3,25000.0,80.0,,,,,,,,,
20,Ambroma Augusta,"[""Well-drained"",""Loamy""]",Flowering Plant,"[""Spring"",""Summer"",""Autumn""]",24,"[""Organic fertilizer"",""NPK fertilizers""]",4,"[""Tropical regions"",""Subtropical regions""]",27.5,27.5,150.0,0.3,20000.0,80.0,,,,,,,,,
21,Ambroma augustum,"[""Loamy"",""Sandy""]",Herbaceous perennial,"[""Summer""]",48 hours interval,"[""Organic fertilizer"",""Slow-release fertilizer""]",4 weeks interval,"[""Tropical regions""]",25.0,27.5,1500.0,0.4,30000.0,80.0,,,,,,,,,
22,Balsam Fir,"[""Sandy loam"",""Clay loam"",""Loam""]",Tree,"[""Spring"",""Summer""]",48 hours interval,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4 weeks interval,"[""Northern United States"",""Canada"",""Scandinavia""]",-7.5,10.0,1000.0,0.375,22000.0,70.0,,,,,,,,,
23,Pinus balsamea,"[""Loamy"",""Sandy"",""Clayey""]",Evergreen tree,"[""Late spring"",""Summer"",""Early fall""]",Every 7-10 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 6 weeks,"[""Eastern North America"",""Eastern Canada"",""Northern United States""]",-5.0,7.5,1000.0,0.3,25000.0,80.0,,,,,,,,,
24,Abies ×phanerolepis,"[""Loamy"",""Sandy"",""Clay""]",Tree,"[""Spring"",""Summer""]",48 hours interval,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4 weeks interval,"[""Mountainous regions"",""Cool temperate areas""]",2.5,8.5,1200.0,0.45,25000.0,70.0,,,,,,,,,
