Seed_ID,Seed_Name,Soil_Types,Plant_Category,Season,Watering,Fertilization_List,Fertilization_Time,Best_Growing_Areas,Temperature,Soil_Temperature,Precipitation,Soil_Moisture,Sunshine_Duration,Humid
30853,sarothra drummondii,"[""Sandy"",""Loamy"",""Clay""]",Wildflower,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwestern United States"",""Mexico"",""Central America""]",22.5,22.5,450,0.3,21600,60
30854,hyparrhenia dregeana,"[""Sandy loam"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8,"[""Eastern Cape"",""KwaZulu-Natal"",""Limpopo""]",20,20,750,0.2,25000,60
30855,hydrangea,"[""Loamy"",""Sandy"",""Clay""]",Shrub,"[""Spring"",""Summer"",""Autumn""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",17.5,17.5,1250,0.3,22000,70
30857,hydrilla,"[""Silty"",""Sandy""]",Aquatic Plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus""]",4,"[""North America"",""Europe"",""Asia""]",19,22.5,2000,0.45,28000,90
30858,hydriastele,"[""Loamy soil"",""Sandy soil""]",Palm,"[""Year-round""]",03-Feb,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,"[""Tropical rainforests"",""Wetlands""]",27,27.5,2000,0.25,20000,80
30859,hydrophylax,"[""Silty soil"",""Clay soil""]",Aquatic plant,"[""Summer""]",04-Mar,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4,"[""Tropical regions"",""Subtropical regions""]",25,27.5,150,0.45,22000,70
30860,hydrocotyle,"[""Loamy"",""Sandy""]",Herb,"[""Start of spring"",""Summer""]",03-Feb,"[""NPK 20-20-20"",""Organic compost""]",4,"[""North America"",""Europe"",""Asia""]",21.5,17.5,1000,0.3,20000,60
30861,hydrolea,"[""Silt"",""Loam""]",Aquatic,"[""Spring"",""Summer""]",12,"[""NPK 20-20-20"",""NPK 10-10-10""]",4,"[""Ponds"",""Lakes"",""Marshes""]",25,21.5,150,0.45,21600,80
30862,hydrophyllum,"[""Loamy soil"",""Sandy soil""]",Herbaceous perennial,"[""Spring"",""Summer""]",48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,"[""North America"",""Europe"",""Asia""]",17.5,16,750,0.3,7000,60
30863,hydrocleys nymphoides,"[""Clay"",""Loam"",""Silt""]",Aquatic,"[""Spring"",""Summer""]",48,"[""NPK 20-20-20"",""Iron Chelate"",""Potassium Nitrate""]",4,"[""North America"",""South America"",""Europe"",""Asia"",""Africa"",""Australia""]",25,27.5,150,0.5,21600,80
30864,hydrocharis,"[""Loamy"",""Sandy""]",Aquatic,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus""]",4,"[""Ponds"",""Lakes""]",22.5,22.5,150,0.5,22000,80
