,Names,Description,url
0,"Sunflower, Mexican Sunflower (Tithonia rotundifolia)","
				
	Description

Mexican Sunflower produces stunning, deep orange flowers that set it apart from other sunflowers. Flowers are up to four inches wide and attract bees and butterflies. This species is native to Mexico and is heat and drought tolerant. Recommended for the back of the border, cutting garden and pollinator garden.
			",https://americanseedco.com/wp-content/uploads/2023/05/Mexican-Sunflower-200x230.jpg
1,"Sunflower, Procut Horizon Pollenless","
				
	Description

A brand new ProCut variety, with rich overlapping orange petals surrounding a traditional dark disc, with perfect upward facing blooms. Pollenless means no mess on your table from your arrangement. A must for the home florist!
ProCut Series Sunflowers are early maturing, pollenless hybrids. Plants are strong single stems that are 60 – 72” high with 4 – 6” blooms.
			",https://americanseedco.com/wp-content/uploads/2023/02/horizon-200x200.jpg
2,"Sunflower, Procut Peach","
				
	Description

Stunning, Peach-colored blooms combine well with soft or vivid colors and are every bit as early and reliable as the other well-known ProCut colors. Single-stem plants have tall, strong stems and 4–6″, pollenless blooms. Another exciting introduction from US plant breeder Dr. Tom Heaton and company. Pollenless. Single stem.
			",https://americanseedco.com/wp-content/uploads/2024/06/peach-procut-200x200.jpg
3,"Sunflower, Procut Red Lemon BiColor Pollenless","
				
	Description

Bicolor flowers open lemon yellow with deep velvety red surrounding the almost black central disc. The red color diffuses to a muted brick red as the flower matures. ProCut Red Lemon Bicolor makes an excellent cut flower, with strong, 4-6 ft. tall stems. Flowers are pollen-free.
			",https://americanseedco.com/wp-content/uploads/2023/02/red-lemon.jpg
4,"Sunflower, Autumn Beauty (90 days)","
				
	Description

A mixture of yellow, bronze and purple 6 inch flowers on 5 to 6 foot stalks.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/autumn-200x170.jpg
5,"Sunflower, Black Oil Hybrid (Perodovik Sunflower)","
				
	Description

Plant heights of 5 feet with sunflower heads that produce an abundant supply of tasty snacks or bird food.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/Black-Oil-Sunflower.webp
6,"Sunflower, Lemon Queen","
				
	Description


Beautiful, lemon-yellow blooms with chocolate centers. This one is very unique; tall plants produce many brilliant blooms that are a favorite of many bees.

 
 
			",https://americanseedco.com/wp-content/uploads/2018/11/lemon-queen-sunflower-200x200.jpg
7,"Sunflower, Russian Mammoth (105 days)","
				
	Description

Immense single yellow flowers on heavy, tall stalks.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/mammoth-200x200.jpg
8,"Sunflower, Sungold Dwarf","
				
	Description

Brilliant double, golden yellow flowers on 2 to 3 foot stems distinguish this unique variety.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/sungold-200x267.jpg
9,"Sunflower, Velvet Queen","
				
	Description


Dark, velvety crimson blooms are accented with traces of yellow around a black center. 5-6″ blooms occur May through November. Plants average 5-6′ in height.

 
			",https://americanseedco.com/wp-content/uploads/2018/11/velvet-queen-sunflower-200x200.jpg
10,Butterfly Milkweed (Asclepias Tuberosa),"
				
	Description

Monarch larvae feed exclusively on Milkweed plants. including Butterfly Milkweed (Asclepias Tuberosa) that has been recommended by the North American Butterfly Association. Monarchs are probably the most well known butterflies in North America. Sadly, the number of Monarchs seen in our gardens has been decreasing over the last decade. One of the factors that is causing this decrease is the loss of the Monarch caterpillars’ food plant, namely, milkweeds. This species of milkweed does not spread by runners like common milkweed therefore it is not invasive. Native to North America. Fun for kids and adults alike!
			",https://americanseedco.com/wp-content/uploads/2022/12/Butterfly-Milkweed__40762-200x200.jpg
11,Moonflower,"
				
	Description

The first time you watch a Moonflower swirl open, you simply won’t believe your eyes. The whole process takes less than a minute–from tightly-furled, long greenish-white bud to glowing, wide-open 6-inch bloom–and it occurs at twilight, when the rest of the garden is closing up for the night! A favorite of the humminbird moth and sphinx moths.

Indescribably fragrant, Moonflower is one of the joys of the night garden, and this 6-foot vine is particularly effective on the patio, twining up the porch railings, or set under windows, where the fragrance can be appreciated indoors and out.
An easy, carefree vine, Moonflower can be started ahead indoors or direct-sown when the soil is warm in any sunny garden spot. The blooms arise all summer and into fall. Magnificent!
Soak these seed in warm water for 24 hours before planting.

			",https://americanseedco.com/wp-content/uploads/2022/12/s-l500-200x200.jpg
